     year   district    abs_dem    abs_rep   mach_dem   mach_rep
       82          2        551        205      47767      21340
       82          4        594        312      44437      28533
       82          8        338        115      55662      13214
       84          1       1357        764      58327      38883
       84          3        716        144      78270       6473
       84          5       1207       1436      54812      55829
       84          7        929        258      77136      13730
       86          2        609        316      39034      23363
       86          4        666        306      52817      16541
       86          8        477        171      48315      11605
       88          1       1101        700      56362      34514
       88          3        448         70      69801       3939
       88          5        781       1610      43527      56721
       88          7        644        250      68702      12602
       90          2        660        509      27543      26843
       90          4        482        831      39193      27664
       90          8        308        148      34598       8551
       92          1       1923        594      65943      21518
       92          3        695        327      58480      12968
       92          5        841       1275      41267      46967
       92          7        814        423      65516      14310
